prod,row_idx_i,col_idx_j
1067,0,0
1749,0,29
1581,0,32
2234,0,166
2776,0,182
1151,0,192
1609,0,195
437,0,196
2317,0,209
2001,0,224
1827,0,247
7217,0,0
3602,0,46
3296,0,54
6480,0,71
7054,0,83
6086,0,124
3081,0,153
13475,0,182
2012,0,185
8938,0,186
11139,0,196
12311,0,199
6179,0,211
6010,0,237
3307,0,0
3092,0,40
4910,0,49
2600,0,99
2112,0,106
4273,0,133
3151,0,171
1692,0,193
3383,0,194
9127,0,202
4967,0,221
10933,0,0
2403,0,22
4984,0,54
2060,0,69
6056,0,89
10369,0,134
3955,0,156
10005,0,183
12847,0,217
10426,0,222
3162,0,238
3197,0,242
1245,0,0
3631,0,11
1087,0,39
1869,0,62
553,0,78
2886,0,140
561,0,147
4121,0,152
3594,0,172
2394,0,187
1576,0,207
4122,0,218
16744,0,0
4933,0,42
1768,0,50
3105,0,90
7574,0,115
4402,0,132
11620,0,178
5994,0,179
4746,0,206
1872,0,247
11487,0,0
5255,0,7
11871,0,18
5823,0,42
2322,0,64
4158,0,70
2959,0,85
10068,0,100
10644,0,109
2101,0,133
3667,0,136
6991,0,140
9911,0,159
8289,0,201
6208,0,204
9267,0,206
11390,0,210
3628,0,215
6163,0,234
1974,0,0
4666,0,6
2151,0,13
1034,0,26
1546,0,46
3791,0,52
557,0,59
4826,0,68
2940,0,111
2493,0,173
1379,0,185
2625,0,188
5410,0,201
1129,0,214
5097,0,224
1241,0,225
1057,0,233
4146,0,237
3172,0,240
288,0,0
696,0,42
980,0,67
867,0,102
226,0,141
1765,0,158
239,0,160
1215,0,165
267,0,183
633,0,220
191,0,235
4271,0,0
2528,0,19
6261,0,34
6460,0,49
4965,0,66
3031,0,68
6425,0,83
6479,0,94
2854,0,118
7067,0,121
2376,0,124
6325,0,143
1396,0,157
6283,0,164
5399,0,168
767,0,197
4608,0,214
5536,0,235
2670,0,243
6997,0,0
5741,0,42
6648,0,55
3621,0,71
7237,0,108
4287,0,120
3828,0,125
5695,0,127
6849,0,144
7729,0,149
2076,0,165
900,0,173
6002,0,182
6133,0,186
5770,0,198
3498,0,214
3342,1,1
2479,1,42
2990,1,43
3508,1,44
1142,1,61
889,1,67
7398,1,89
1506,1,93
5072,1,184
5001,1,195
4839,1,1
6091,1,8
1390,1,12
7026,1,15
5392,1,28
5184,1,34
7010,1,38
2851,1,42
9875,1,56
5031,1,131
4757,1,166
2461,1,172
4944,1,207
8636,1,211
1939,1,214
4058,1,246
2497,1,1
4427,1,6
1626,1,27
4121,1,71
5307,1,78
3529,1,79
4485,1,94
3427,1,113
5384,1,114
3735,1,141
3386,1,149
4040,1,163
4834,1,183
2140,1,188
6693,1,227
4493,1,232
2535,1,241
4977,1,1
2605,1,14
4496,1,19
3225,1,29
7099,1,45
2701,1,57
7501,1,86
5091,1,93
4557,1,99
7692,1,115
4237,1,138
6790,1,141
1005,1,184
4442,1,191
4764,1,219
4157,1,231
3886,1,239
2811,1,249
2904,1,1
1473,1,2
4982,1,42
3853,1,48
5776,1,59
2431,1,76
5962,1,135
1732,1,136
3476,1,141
3730,1,142
5013,1,163
6728,1,200
1625,1,239
1404,1,240
2236,1,248
5991,1,1
5164,1,14
8008,1,22
10527,1,30
9120,1,36
4203,1,48
9739,1,51
1497,1,76
6906,1,93
969,1,94
7429,1,133
7198,1,142
7508,1,175
5878,1,185
3122,1,193
3147,1,203
5713,1,237
3305,1,249
9033,1,1
12718,1,2
4644,1,38
5846,1,51
9694,1,54
4996,1,71
7116,1,79
4915,1,103
4779,1,135
3127,1,147
8591,1,159
6635,1,166
2733,1,181
3415,1,195
6227,1,204
4233,1,206
3174,1,213
9023,1,217
8446,1,232
4182,1,1
1235,1,80
1249,1,81
7906,1,82
4945,1,88
1534,1,108
6154,1,124
1307,1,125
5475,1,127
6833,1,151
5790,1,176
1320,1,185
4878,1,214
2547,1,219
2556,1,235
7167,1,242
5692,1,1
8539,1,14
7823,1,18
6820,1,26
6838,1,75
6253,1,76
6459,1,119
9709,1,129
4911,1,142
9823,1,157
2719,1,158
9008,1,176
6455,1,1
1464,1,24
6841,1,55
5386,1,82
4499,1,91
6726,1,128
7998,1,136
2346,1,165
1819,1,167
5755,1,177
3400,1,178
3463,1,183
6102,1,185
7872,1,189
943,1,197
7522,1,209
9195,1,215
2305,1,1
4000,1,57
2994,1,66
1553,1,94
2148,1,101
1824,1,106
4465,1,112
2149,1,131
4183,1,237
1314,1,1
3594,1,7
550,1,72
4501,1,106
3120,1,115
619,1,123
944,1,130
780,1,131
912,1,151
1802,1,156
2789,1,166
423,1,186
2863,1,197
1456,1,214
1751,1,229
423,1,1
774,1,13
2224,1,19
529,1,42
1287,1,56
466,1,66
1937,1,78
298,1,114
821,1,160
913,1,169
586,1,180
1209,1,185
2205,1,200
992,1,209
2200,1,219
387,1,235
1385,1,238
7950,1,1
2811,1,57
4386,1,85
3723,1,107
3988,1,128
4767,1,171
4363,1,192
6680,1,243
3119,1,1
4375,1,9
1641,1,44
1319,1,47
720,1,76
2394,1,92
5052,1,125
2316,1,144
6770,1,145
2998,1,150
4910,1,172
4292,1,197
4606,1,233
507,1,1
1604,1,10
2038,1,11
2457,1,28
2462,1,53
1575,1,83
2279,1,133
831,1,135
2422,1,137
3508,1,208
395,1,228
808,1,237
250,2,2
272,2,48
570,2,83
1130,2,92
938,2,96
1425,2,102
1394,2,147
2337,2,188
1158,2,213
252,2,220
15671,2,2
14104,2,19
2474,2,61
5650,2,64
4000,2,71
14070,2,99
15897,2,108
6806,2,118
6389,2,132
4351,2,169
2115,2,180
3268,2,243
11348,2,248
1473,2,1
747,2,2
2527,2,42
1955,2,48
2930,2,59
1233,2,76
3024,2,135
878,2,136
1763,2,141
1892,2,142
2543,2,163
3413,2,200
824,2,239
712,2,240
1134,2,248
2393,2,2
4545,2,34
2637,2,49
1036,2,79
2125,2,100
5818,2,105
1838,2,107
4859,2,141
5023,2,179
2520,2,183
4693,2,193
2302,2,212
4116,2,220
4099,2,221
2379,2,236
1476,2,239
3893,2,244
3161,2,247
12718,2,1
17907,2,2
6538,2,38
8231,2,51
13649,2,54
7035,2,71
10020,2,79
6921,2,103
6729,2,135
4403,2,147
12096,2,159
9342,2,166
3849,2,181
4808,2,195
8768,2,204
5960,2,206
4469,2,213
12704,2,217
11892,2,232
12921,2,2
8983,2,22
9962,2,23
9935,2,48
4164,2,56
9999,2,63
4931,2,82
10996,2,109
7109,2,110
2091,2,116
11690,2,158
8633,2,185
2559,2,219
