prod,row_idx_i,col_idx_j
400,0,0
500,0,23
980,0,55
320,0,99
2209,0,0
799,0,1
1175,0,6
1880,0,7
1645,0,9
517,0,13
141,0,21
141,0,22
141,0,33
658,0,39
329,0,49
1222,0,74
47,0,81
529,0,0
736,0,2
207,0,79
897,0,95
169,0,0
481,0,85
225,0,0
555,0,1
630,0,2
270,0,10
75,0,34
15,0,35
165,0,98
1089,0,0
825,0,7
1155,0,10
33,0,18
264,0,94
1225,0,1
1680,0,11
840,0,31
175,0,51
1610,0,54
1050,0,57
1435,0,59
385,0,66
1225,0,1
315,0,39
1645,0,41
490,0,56
1365,0,95
799,0,0
289,0,1
425,0,6
680,0,7
595,0,9
187,0,13
51,0,21
51,0,22
51,0,33
238,0,39
119,0,49
442,0,74
17,0,81
2304,0,1
2160,0,16
1344,0,21
2160,0,36
1200,0,45
1872,0,79
1156,0,1
170,0,22
555,0,0
1369,0,1
1554,0,2
666,0,10
185,0,34
37,0,35
407,0,98
676,0,2
1144,0,19
728,0,33
468,0,60
1040,0,72
390,0,85
736,0,0
1024,0,2
288,0,79
1248,0,95
630,0,0
1554,0,1
1764,0,2
756,0,10
210,0,34
42,0,35
462,0,98
361,0,2
323,0,10
836,0,21
95,0,29
589,0,51
494,0,62
57,0,85
16,0,2
4,0,11
12,0,38
164,0,41
60,0,63
441,0,3
609,0,15
357,0,36
819,0,37
588,0,53
462,0,54
630,0,57
861,0,60
861,0,65
1156,0,3
272,0,29
1496,0,38
272,0,60
884,0,91
25,0,3
235,0,7
215,0,19
230,0,30
150,0,41
20,0,57
125,0,70
175,0,99
2401,0,3
1813,0,20
2156,0,43
931,0,69
2352,0,86
2401,0,3
2156,0,46
1911,0,60
1849,0,3
43,0,25
774,0,34
1156,0,3
476,0,11
918,0,65
1681,4,4
738,4,9
738,4,11
1845,4,15
451,4,20
574,4,34
369,4,35
1435,4,59
410,4,73
123,4,80
1271,4,97
784,4,4
952,4,7
1120,4,24
700,4,85
2401,4,4
588,4,81
2352,4,85
2156,4,90
2209,4,4
1175,4,8
1739,4,12
893,4,22
940,4,61
705,4,90
1089,4,4
396,4,25
462,4,26
198,4,49
396,4,63
462,4,79
841,4,4
928,4,69
1363,4,70
1305,4,85
1189,4,87
4,5,5
54,5,45
62,5,95
1681,5,5
1394,5,37
328,5,43
1927,5,61
1763,5,66
1476,5,84
164,5,86
676,6,6
572,6,27
702,6,43
468,6,47
702,6,61
494,6,63
1274,6,77
1175,6,0
425,6,1
625,6,6
1000,6,7
875,6,9
275,6,13
75,6,21
75,6,22
75,6,33
350,6,39
175,6,49
650,6,74
25,6,81
1225,6,6
1680,6,13
245,6,37
945,6,51
665,6,67
1435,6,82
1681,6,6
451,6,12
697,6,36
1435,6,84
1435,6,87
961,6,6
682,6,36
1457,6,48
310,6,49
1178,6,84
496,6,91
729,6,6
837,6,14
1026,6,16
1188,6,46
297,6,76
1156,6,6
544,6,15
