prod,row_idx_i,col_idx_j
1156,0,0
136,0,23
1088,0,55
442,0,99
1156,0,0
1496,0,1
1156,0,6
1632,0,7
782,0,9
238,0,13
1122,0,21
238,0,22
714,0,33
1394,0,39
170,0,49
1258,0,74
782,0,81
484,0,0
814,0,2
1078,0,79
1034,0,95
9,0,0
36,0,85
961,0,0
1116,0,1
1364,0,2
279,0,10
930,0,34
1364,0,35
899,0,98
2401,0,0
2401,0,7
1176,0,10
2156,0,18
1470,0,94
144,1,1
564,1,11
528,1,31
444,1,51
60,1,54
348,1,57
504,1,59
372,1,66
16,1,1
188,1,39
140,1,41
172,1,56
40,1,95
1496,1,0
1936,1,1
1496,1,6
2112,1,7
1012,1,9
308,1,13
1452,1,21
308,1,22
924,1,33
1804,1,39
220,1,49
1628,1,74
1012,1,81
2209,1,1
1598,1,16
1786,1,21
1081,1,36
1081,1,45
940,1,79
484,1,1
836,1,22
1116,1,0
1296,1,1
1584,1,2
324,1,10
1080,1,34
1584,1,35
1044,1,98
25,2,2
100,2,19
175,2,33
20,2,60
15,2,72
120,2,85
814,2,0
1369,2,2
1813,2,79
1739,2,95
1364,2,0
1584,2,1
1936,2,2
396,2,10
1320,2,34
1936,2,35
1276,2,98
841,2,2
1363,2,10
58,2,21
522,2,29
696,2,51
725,2,62
783,2,85
529,2,2
184,2,11
23,2,38
92,2,41
1081,2,63
1156,3,3
374,3,15
374,3,36
1462,3,37
1462,3,53
102,3,54
238,3,57
1428,3,60
544,3,65
361,3,3
741,3,29
798,3,38
912,3,60
380,3,91
2025,3,3
1620,3,7
495,3,19
360,3,30
2070,3,41
2070,3,57
360,3,70
1575,3,99
784,3,3
364,3,20
196,3,43
812,3,69
1232,3,86
4,3,3
44,3,46
28,3,60
1369,3,3
1295,3,25
185,3,34
529,3,3
644,3,11
598,3,65
529,4,4
299,4,9
322,4,11
299,4,15
138,4,20
575,4,34
322,4,35
529,4,59
759,4,73
621,4,80
299,4,97
1849,4,4
860,4,7
1075,4,24
1376,4,85
100,4,4
240,4,81
50,4,85
20,4,90
1089,4,4
693,4,8
528,4,12
1221,4,22
594,4,61
495,4,90
1936,4,4
484,4,25
1628,4,26
1496,4,49
880,4,63
1540,4,79
2116,4,4
1932,4,69
46,4,70
1794,4,85
1472,4,87
289,5,5
663,5,45
408,5,95
576,5,5
288,5,37
48,5,43
1104,5,61
456,5,66
672,5,84
504,5,86
1,6,6
47,6,27
18,6,43
33,6,47
24,6,61
40,6,63
49,6,77
1156,6,0
1496,6,1
1156,6,6
1632,6,7
782,6,9
238,6,13
1122,6,21
238,6,22
714,6,33
1394,6,39
170,6,49
1258,6,74
782,6,81
900,6,6
1290,6,13
270,6,37
990,6,51
210,6,67
990,6,82
1156,6,6
476,6,12
782,6,36
714,6,84
1054,6,87
2025,6,6
1935,6,36
1350,6,48
540,6,49
2160,6,84
900,6,91
1849,6,6
1763,6,14
1419,6,16
774,6,46
387,6,76
324,6,6
396,6,15
252,6,17
522,6,22
666,6,35
450,6,58
558,6,59
18,6,67
432,6,71
1156,7,7
68,7,12
714,7,14
1428,7,16
408,7,40
170,7,48
1598,7,69
340,7,84
860,7,4
400,7,7
500,7,24
640,7,85
1620,7,3
1296,7,7
396,7,19
288,7,30
1656,7,41
1656,7,57
288,7,70
1260,7,99
121,7,7
176,7,13
484,7,20
352,7,24
88,7,51
187,7,61
132,7,70
363,7,78
33,7,81
275,7,96
1632,7,0
2112,7,1
1632,7,6
2304,7,7
1104,7,9
336,7,13
1584,7,21
336,7,22
1008,7,33
1968,7,39
240,7,49
1776,7,74
1104,7,81
2025,7,7
1080,7,28
1755,7,63
405,7,80
1980,7,92
225,7,7
135,7,24
315,7,26
345,7,36
1849,7,7
602,7,28
1247,7,54
43,7,65
1290,7,75
817,7,95
2401,7,0
2401,7,7
1176,7,10
2156,7,18
1470,7,94
693,8,4
441,8,8
336,8,12
777,8,22
378,8,61
315,8,90
299,9,4
169,9,9
182,9,11
169,9,15
78,9,20
325,9,34
182,9,35
299,9,59
429,9,73
351,9,80
169,9,97
529,9,9
736,9,14
299,9,78
782,9,0
1012,9,1
782,9,6
1104,9,7
529,9,9
161,9,13
759,9,21
161,9,22
483,9,33
943,9,39
115,9,49
851,9,74
529,9,81
289,9,9
527,9,10
748,9,57
51,9,79
324,9,9
630,9,21
234,9,51
540,9,67
36,9,71
432,9,76
198,9,98
1936,9,9
220,9,29
1276,9,44
44,9,57
1716,9,67
1521,10,10
484,10,10
616,10,21
616,10,37
81,10,10
180,10,13
99,10,25
189,10,55
261,10,73
441,10,92
527,10,9
961,10,10
1364,10,57
93,10,79
279,10,0
324,10,1
396,10,2
81,10,10
270,10,34
396,10,35
261,10,98
1363,10,2
2209,10,10
94,10,21
846,10,29
1128,10,51
1175,10,62
1269,10,85
1024,10,10
