# SystemVerilog DUT outputs
# Format: row,col,value
0,0,65530.000000
0,6,4666.000000
0,7,5255.000000
0,11,3631.000000
0,13,2151.000000
0,18,11871.000000
0,19,2528.000000
0,22,2403.000000
0,26,1034.000000
0,29,1749.000000
0,32,1581.000000
0,34,6261.000000
0,39,1087.000000
0,40,3092.000000
0,42,17193.000000
0,46,5148.000000
0,49,11370.000000
0,50,1768.000000
0,52,3791.000000
0,54,8280.000000
0,55,6648.000000
0,59,557.000000
0,62,1869.000000
0,64,2322.000000
0,66,4965.000000
0,67,980.000000
0,68,7857.000000
0,69,2060.000000
0,70,4158.000000
0,71,10101.000000
0,78,553.000000
0,83,13479.000000
0,85,2959.000000
0,89,6056.000000
0,90,3105.000000
0,94,6479.000000
0,99,2600.000000
0,100,10068.000000
0,102,867.000000
0,106,2112.000000
0,108,7237.000000
0,109,10644.000000
0,111,2940.000000
0,115,7574.000000
0,118,2854.000000
0,120,4287.000000
0,121,7067.000000
0,124,8462.000000
0,125,3828.000000
0,127,5695.000000
0,132,4402.000000
0,133,6374.000000
0,134,10369.000000
0,136,3667.000000
0,140,9877.000000
0,141,226.000000
0,143,6325.000000
0,144,6849.000000
0,147,561.000000
0,149,7729.000000
0,152,4121.000000
0,153,3081.000000
0,156,3955.000000
0,157,1396.000000
0,158,1765.000000
0,159,9911.000000
0,160,239.000000
0,164,6283.000000
0,165,3291.000000
0,166,2234.000000
0,168,5399.000000
0,171,3151.000000
0,172,3594.000000
0,173,3393.000000
0,178,11620.000000
0,179,5994.000000
0,182,22253.000000
0,183,10272.000000
0,185,3391.000000
0,186,15071.000000
0,187,2394.000000
0,188,2625.000000
0,192,1151.000000
0,193,1692.000000
0,194,3383.000000
0,195,1609.000000
0,196,11576.000000
0,197,767.000000
0,198,5770.000000
0,199,12311.000000
0,201,13699.000000
0,202,9127.000000
0,204,6208.000000
0,206,14013.000000
0,207,1576.000000
0,209,2317.000000
0,210,11390.000000
0,211,6179.000000
0,214,9235.000000
0,215,3628.000000
0,217,12847.000000
0,218,4122.000000
0,220,633.000000
0,221,4967.000000
0,222,10426.000000
0,224,7098.000000
0,225,1241.000000
0,233,1057.000000
0,234,6163.000000
0,235,5727.000000
0,237,10156.000000
0,238,3162.000000
0,240,3172.000000
0,242,3197.000000
0,243,2670.000000
0,247,3699.000000
1,1,65530.000000
1,2,14191.000000
1,6,4427.000000
1,7,3594.000000
1,8,6091.000000
1,9,4375.000000
1,10,1604.000000
1,11,2038.000000
1,12,1390.000000
1,13,774.000000
1,14,16308.000000
1,15,7026.000000
1,18,7823.000000
1,19,6720.000000
1,22,8008.000000
1,24,1464.000000
1,26,6820.000000
1,27,1626.000000
1,28,7849.000000
1,29,3225.000000
1,30,10527.000000
1,34,5184.000000
1,36,9120.000000
1,38,11654.000000
1,42,10841.000000
1,43,2990.000000
1,44,5149.000000
1,45,7099.000000
1,47,1319.000000
1,48,8056.000000
1,51,15585.000000
1,53,2462.000000
1,54,9694.000000
1,55,6841.000000
1,56,11162.000000
1,57,9512.000000
1,59,5776.000000
1,61,1142.000000
1,66,3460.000000
1,67,889.000000
1,71,9117.000000
