prod,row_idx_i,col_idx_j
2868,0,0
2008,0,2
2528,0,13
1107,0,27
782,0,40
2823,0,55
1823,0,64
2291,0,86
1729,0,94
3543,0,101
2943,0,144
3542,0,188
991,0,226
3014,0,237
664,0,238
3856,0,251
3328,0,281
2384,0,283
3283,0,340
2772,0,341
1339,0,374
722,0,400
2869,0,404
846,0,412
2731,0,430
1635,0,462
3023,0,466
2645,0,479
2410,0,0
2007,0,32
3531,0,50
2357,0,57
2860,0,64
2317,0,65
1823,0,97
3349,0,103
2889,0,127
2736,0,145
3402,0,165
3594,0,198
1753,0,231
3552,0,237
1047,0,242
1712,0,358
3659,0,379
2831,0,394
2828,0,412
2190,0,418
751,0,433
2653,0,457
3766,0,0
3372,0,22
4415,0,30
3966,0,41
1506,0,50
1737,0,61
1380,0,69
5974,0,86
2392,0,103
3378,0,109
1879,0,116
4010,0,128
1133,0,149
5017,0,179
3710,0,207
4827,0,236
3561,0,286
4781,0,293
2062,0,374
1636,0,402
500,0,406
879,0,432
3071,0,465
2139,0,468
11237,0,0
3453,0,10
6964,0,69
5544,0,152
5721,0,160
7951,0,220
3171,0,236
6542,0,239
6957,0,243
7958,0,288
2641,0,297
2502,0,318
3728,0,374
6445,0,385
3588,0,391
3972,0,443
244,0,0
531,0,5
857,0,21
286,0,57
973,0,84
710,0,85
485,0,95
1020,0,136
684,0,151
133,0,153
495,0,155
368,0,171
1075,0,176
1209,0,188
342,0,195
590,0,232
1111,0,233
1184,0,263
940,0,289
566,0,326
350,0,327
755,0,366
413,0,370
701,0,390
1322,0,391
375,0,401
918,0,406
352,0,412
121,0,440
242,0,456
1016,0,469
806,0,497
4633,0,0
2110,0,2
1650,0,25
5978,0,42
1102,0,78
3912,0,107
5798,0,115
3841,0,130
4236,0,133
2357,0,149
6027,0,151
1597,0,158
4012,0,164
988,0,188
4609,0,190
3534,0,207
3023,0,225
1506,0,232
1898,0,253
3810,0,262
4560,0,276
5854,0,279
1370,0,308
6157,0,375
2028,0,408
1205,0,477
5340,0,493
3806,0,498
10085,0,0
6724,0,6
7216,0,31
3242,0,51
3691,0,73
6713,0,157
3062,0,159
8332,0,181
3981,0,247
4928,0,248
4740,0,266
2038,0,267
4358,0,276
7539,0,288
7165,0,292
2899,0,311
4090,0,314
1179,0,323
4047,0,326
2433,0,332
1630,0,353
5101,0,358
6959,0,369
3811,0,432
4723,0,471
2450,0,487
318,0,0
535,0,5
579,0,12
1066,0,14
181,0,18
1246,0,47
474,0,65
294,0,79
1164,0,100
1055,0,125
324,0,148
1144,0,194
358,0,205
238,0,226
922,0,275
1522,0,285
509,0,306
356,0,324
298,0,336
1570,0,355
1111,0,357
428,0,367
144,0,379
1330,0,394
735,0,402
808,0,484
3366,0,0
4699,0,33
2317,0,45
2680,0,58
1562,0,68
3427,0,84
1375,0,95
3046,0,114
1531,0,147
1265,0,150
2554,0,165
2858,0,186
3632,0,211
4237,0,216
2816,0,220
3044,0,226
3353,0,235
3099,0,255
2579,0,282
5031,0,297
3870,0,369
3737,0,392
4218,0,400
3938,0,402
1965,0,415
1486,0,417
4043,0,451
3072,0,482
3016,0,484
11237,0,0
5498,0,17
7536,0,31
5651,0,50
5226,0,55
6808,0,110
3303,0,112
1121,0,117
7007,0,123
5428,0,150
7946,0,176
6726,0,187
6497,0,225
1308,0,226
1782,0,255
3139,0,271
3074,0,299
1226,0,305
7313,0,338
8317,0,341
3072,0,420
5835,0,428
7551,0,447
1366,0,458
280,0,0
1390,0,7
389,0,19
821,0,35
1017,0,47
745,0,57
1089,0,64
1313,0,92
330,0,96
762,0,115
458,0,156
292,0,172
1174,0,189
332,0,238
310,0,249
230,0,251
949,0,268
296,0,277
1112,0,295
669,0,315
1221,0,322
582,0,364
723,0,393
1039,0,447
1041,0,460
217,0,473
669,0,478
327,0,486
3238,0,0
3441,0,27
2585,0,40
2805,0,47
3638,0,87
1700,0,109
723,0,119
3703,0,161
4283,0,163
4455,0,209
1220,0,227
3853,0,239
2555,0,241
